,state,district,repcandidate,demcandidate,rep_score,rep_incumbent,dem_incumbent,state_fips,minority_percentage,pres_approval,same_as_pres_party_rep,same_as_pres_party_dem,log_med_income,year,dem_percent,dem_is_female,rep_is_female,rep_primary_percent,dem_primary_percent,labor_force
8836,Alabama,5,"Schrader, Dieter J.","Jones, Robert Emmett Jr.",0.2477,False,False,1,,,,,,1972,,,,,,
8837,Alabama,4,"Nelson, Ed","Bevill, Tom",0.3011,False,True,1,,,,,,1972,,,,,,
8838,Alabama,3,"Kerr, Robert M.","Nichols, Bill",0.2141,False,True,1,,,,,,1972,,,,,,
8839,Alabama,2,"Dickinson, William Louis","Reeves, Ben C.",0.5694,True,False,1,,,,,,1972,,,,,,
8840,Alabama,1,"Edwards, Jack","McCrory, O. W.",0.8111,True,False,1,,,,,,1972,,,,,,
8841,California,9,"Smith, Herb","Edwards, Don",0.2581,False,True,6,,,,,,1972,,,,,,
8842,California,8,"Warden, Lew M.","Stark, Fortney Pete",0.47100000000000003,False,False,6,,,,,,1972,,,,,,
8843,California,6,"Mailliard, William S.","Boas, Roger",0.5207999999999999,True,False,6,,,,,,1972,,,,,,
8844,California,16,"Harner, Carol","Sisk, B. F.",0.2087,False,True,6,,,,,,1972,,,,,,
8845,New York,4,"Lent, Norman F.","Horowitz, Elaine B.",0.6344,True,False,36,,,,,,1972,,,,,,
8846,California,4,"Chang, Benjamin","Leggett, Robert L.",0.3256,False,True,6,,,,,,1972,,,,,,
8847,California,3,"Rakus, John","Moss, John Emerson",0.3009,False,True,6,,,,,,1972,,,,,,
8848,California,2,"Callahan, Francis X.","Johnson, Harold T.",0.2954,False,True,6,,,,,,1972,,,,,,
8849,California,1,"Clausen, Don H.","Nighswonger, William A.",0.6454000000000001,True,False,6,,,,,,1972,,,,,,
8850,Massachusetts,12,"Weeks, William D.","Studds, Gerry E.",0.4976,False,False,25,,,,,,1972,,,,,,
8851,Massachusetts,9,"Miller, Howard M.","Hicks, Louise Day",0.2566,False,True,25,,,,,,1972,,,,,,
8852,Massachusetts,7,"Aliberti, Joan M.","MacDonald, Torbert H.",0.3225,False,True,25,,,,,,1972,,,,,,
8853,Massachusetts,6,"Moseley, James B.","Harrington, Michael J.",0.3594,False,True,25,,,,,,1972,,,,,,
8854,Massachusetts,5,"Cronin, Paul W.","Kerry, John F.",0.5445,False,False,25,,,,,,1972,,,,,,
8855,Massachusetts,4,"Linsky, Martin A.","Drinan, Robert F.",0.4844,False,True,25,,,,,,1972,,,,,,
