,district,CANDIDATE NAME,PARTY,PRIMARY %,YEAR
323,KY05,"Holbert, James E. ""Jim""",D,41.00%,2010
324,KY06,"Chandler, Ben",D,100%,2010
325,KY06,"Barr, Garland ""Andy""",R,63.93%,2010
328,LA01,"Scalise, ""Steve""",R,100%,2010
329,LA01,"Katz, Myron ",D,100%,2010
330,LA02,"Richmond, Cedric",D,60.50%,2010
331,LA02,"Cao, ""Joseph""",R,100%,2010
332,LA03,"Landry, ""Jeff"" ",R,49.62%,2010
333,LA03,"Sangisetty, Ravi",D,100%,2010
334,LA04,"Fleming, John",R,100%,2010
335,LA04,"Melville, David ",D,81.10%,2010
336,LA05,"Alexander, Rodney ",R,88.94%,2010
337,LA06,"Cassidy, William ""Bill""",R,100%,2010
338,LA06,"McDonald, Merritt E., Sr.",D,100%,2010
341,ME01,"Pingree, Chellie",D,100.00%,2010
342,ME01,"Scontras, Dean Peter",R,100.00%,2010
343,ME02,"Michaud, Michael H.",D,100.00%,2010
344,ME02,"Levesque, Jason J.",R,100.00%,2010
345,MD01,"Harris, Andy",R,67.35%,2010
346,MD01,"Kratovil, Frank M., Jr.",D,100.00%,2010
347,MD02,"Ruppersberger, C.A. Dutch",D,74.04%,2010
348,MD02,"Cardarelli, Marcelo",R,46.09%,2010
349,MD03,"Sarbanes, John",D,83.04%,2010
350,MD03,"Wilhelm, Jim",R,36.04%,2010
351,MD04,"Edwards, Donna",D,83.56%,2010
352,MD04,"Broadus, Robert",R,100.00%,2010
353,MD05,"Hoyer, Steny H.",D,85.66%,2010
354,MD05,"Lollar, Charles",R,57.97%,2010
355,MD06,"Bartlett, Roscoe G.",R,69.84%,2010
356,MD06,"Duck, Andrew ",D,65.36%,2010
357,MD07,"Cummings, Elijah",D,91.02%,2010
358,MD07,"Mirabile, Frank, Jr.",R,55.97%,2010
359,MD08,"Van Hollen, Chris",D,92.94%,2010
360,MD08,"Philips, Michael Lee",R,32.09%,2010
363,MA01,"Olver, John W.",D,99.54%,2010
364,MA01,"Gunn, William L., Jr",R,99.49%,2010
365,MA02,"Neal, Richard E.",D,98.68%,2010
366,MA02,"Wesley, Thomas A. ",R,56.08%,2010
